M Inf,Thrust (ND),TSFC,N th,N p,N o
0.0,2.699910934960675,2.1964343468893492e-05,0.4308699096955041,7.539734010329341e-11,3.2486445121587245e-11
0.1,2.6038739631995647,2.274991461878224e-05,0.4320049048596808,0.0725542720312147,0.031343801386008306
0.2,2.5155970654950366,2.3472092904166465e-05,0.43538286666023995,0.13945901715660833,0.06071806667126372
0.3,2.4345970831308934,2.4121865826372402e-05,0.4409243167660575,0.2008604718149965,0.08856426630033527
0.4,2.360115425875378,2.469370699048878e-05,0.4485019276088663,0.25702133690452555,0.11527456503828756
0.5,2.291179687652689,2.5185825525138794e-05,0.45794765149238653,0.3083015783766603,0.1411859837689875
0.6,2.226675570254696,2.5599950056051953e-05,0.46906164999233835,0.3551299494474353,0.1665778400495097
0.7,2.1654194476808613,2.594074484702039e-05,0.4816221798421321,0.3979729164793852,0.1916725835529323
0.8,2.1062237207579475,2.621501281384981e-05,0.49539559227978264,0.4373062008554178,0.2166395643803913
0.9,2.0479499312364338,2.6430845750798333e-05,0.510145707974653,0.4735920121621338,0.2416009323355922
1.0,1.9895475009719297,2.659684882180866e-05,0.5256420059928936,0.507263047030921,0.2666387656074008
1.1,1.9300783067476743,2.6721515783097585e-05,0.5416662734833457,0.5387128978572169,0.29180260785973294
1.2,1.8687288379811673,2.6812782682608232e-05,0.5580175668408478,0.5682917383457377,0.31711677308744424
1.3,1.804812442796799,2.6877751850716055e-05,0.57451550856912,0.5963059003608919,0.34258698760860484
1.4,1.7377643280764543,2.6922557580264065e-05,0.5910020724063433,0.6230200346060297,0.3682061316028353
1.5,1.6671317584436922,2.6952337525156847e-05,0.607342089009196,0.6486607840579163,0.3939589956480778
1.6,1.5925614860312263,2.6971275117525373e-05,0.6234227402688106,0.673421176326959,0.41982607510079867
1.7,1.5137859722117424,2.6982684025278886e-05,0.6391523114440756,0.6974651947021994,0.4457864913457029
1.8,1.4306095164361377,2.6989112804845263e-05,0.6544584475606822,0.7209321912467999,0.47182016267990146
1.9,1.3428950270236433,2.699245465800512e-05,0.6692861240707612,0.7439409550666514,0.49790935835405936
2.0,1.2505518677404868,2.6994052759227874e-05,0.6835954998154466,0.7665933516297004,0.5240397653625035
2.1,1.153524989718838,2.6994795779841904e-05,0.6973597787636433,0.788977515137299,0.5502011854056359
2.2,1.0517854001829492,2.6995201119788604e-05,0.7105631694842258,0.8111706156304009,0.5763879636348084
2.3,0.9453219142733889,2.6995485215984113e-05,0.7231989997092279,0.8332412442479274,0.6025992343565736
2.4,0.8341340708591818,2.6995621394725092e-05,0.7352680182158773,0.8552514703121146,0.6288390536526037
2.5,0.7182260560314058,2.6995386305888704e-05,0.7467768973055731,0.8772586273468586,0.655116475864633
2.6,0.5976014594434309,2.6994396199499786e-05,0.7577369356310696,0.8993168849594463,0.68144562057045
2.7,0.47225868124382275,2.6992134310923916e-05,0.7681629520679656,0.921478661921909,0.7078457692095724
2.8,0.3421868051320289,2.6987970497614277e-05,0.7780723557739634,0.9437959342809644,0.7343415259558788
2.9,0.20736175135431179,2.698117407334459e-05,0.7874843746329147,0.9663214920129339,0.7609630758321503
3.0,0.06774251824719668,2.6970920546097372e-05,0.796419422845873,0.9891101995695418,0.7877465742721408
